entity,period,unit,decimals,value
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,-188200000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,362600000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,3117400000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,0
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,-5300000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,879882000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,-500000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,0
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1257600000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,10140000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,36500000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1255700000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,1219600000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,0
549300VZKC61IR5U8G96,2019-01-02T00:00:00,iso4217:EUR,-3,104000000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,36500000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-106000000
HD52L5PJVBXJUUX8I539,2019-01-01T00:00:00,iso4217:EUR,-5,0
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,1257600000
HD52L5PJVBXJUUX8I539,2020-01-01T00:00:00,iso4217:EUR,-5,6606600000
5299004ZME6CSBR7WP07,2021-01-01T00:00:00,iso4217:EUR,-3,-23808000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,240659000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-3,102880000
5299004ZME6CSBR7WP07,2021-01-01T00:00:00,iso4217:EUR,-3,120175000
5299004ZME6CSBR7WP07,2019-01-01T00:00:00,iso4217:EUR,-3,1442023000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-167700000
549300VZKC61IR5U8G96,2022-01-01T00:00:00,iso4217:EUR,-5,-188200000
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,0
5299004ZME6CSBR7WP07,2020-01-01T00:00:00,iso4217:EUR,-3,240659000
549300VZKC61IR5U8G96,2019-01-02T00:00:00,iso4217:EUR,-3,130934000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-3,12972000
5299004ZME6CSBR7WP07,2021-01-01T00:00:00,iso4217:EUR,-3,212439000
549300VZKC61IR5U8G96,2021-01-01T00:00:00,iso4217:EUR,-5,-1900000
549300VZKC61IR5U8G96,2020-01-01T00:00:00,iso4217:EUR,-5,1413500000
